Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;AURAY;87476200;2;Tarif Normal;20.5;114.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;LYON PERRACHE;87722025;1;Tarif Avantage;10.0;42.0
TGV INOUI;TGV HAUTE PICARDIE;87313882;AGDE;87781278;1;Tarif Elève - Etudiant - Apprenti;45.0;45.0
TGV INOUI;NANCY;87141002;RENNES;87471003;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CAEN;87444000;AIME LA PLAGNE;87741769;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;VANNES;87476606;2;Tarif Normal;20.5;114.0
TGV INOUI;LAVAL;87478404;REDON;87471300;1;Tarif Avantage;11.2;42.0
TGV INOUI;TOULON;87755009;DOUAI;87345009;1;Tarif Elève - Etudiant - Apprenti;45.0;45.0
TGV INOUI;NEUFCHATEAU;87141291;NARBONNE;87781104;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CAEN;87444000;ALBERTVILLE;87741645;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;MASSY TGV;87393702;VANNES;87476606;2;Tarif Normal;20.5;114.0
TGV INOUI;MARMANDE;87586545;TOULOUSE MATABIAU;87611004;1;Tarif Avantage;11.2;42.0
TGV INOUI;VALOGNES;87447284;ALBERTVILLE;87741645;1;Tarif Elève - Etudiant - Apprenti;45.0;45.0
TGV INOUI;NICE VILLE;87756056;BEAUNE;87713545;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CARENTAN;87447243;ALBERTVILLE;87741645;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;LAVAL;87478404;MONTPELLIER SUD DE FRANCE;87688887;2;Tarif Avantage;21.0;114.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;ST RAPHAEL VALESCURE;87757526;1;Tarif Avantage;11.2;42.0
TGV INOUI;VALOGNES;87447284;BOURG ST MAURICE;87741793;1;Tarif Elève - Etudiant - Apprenti;45.0;45.0
TGV INOUI;NIMES;87775007;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CASTELNAUDARY;87615039;LILLE EUROPE;87223263;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;ARRAS;87342014;ST NAZAIRE;87481705;2;Tarif Normal;25.5;114.0
TGV INOUI;MONACO MONTE CARLO;87756403;LES ARCS DRAGUIGNAN;87755447;1;Tarif Normal;11.2;42.0
TGV INOUI;VALOGNES;87447284;MOUTIERS SALINS BRIDES L BAINS;87741728;1;Tarif Elève - Etudiant - Apprenti;45.0;45.0
TGV INOUI;ORTHEZ;87672253;PARIS AUSTERLITZ;87547000;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;LILLE EUROPE;87223263;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;CHATEAUROUX;87597005;LILLE EUROPE;87223263;2;Tarif Normal;25.5;114.0
TGV INOUI;METZ VILLE;87192039;MEUSE TGV;87147322;1;Tarif Avantage;11.9;42.0
TGV INOUI;VANNES;87476606;AIX LES BAINS - LE REVARD;87741132;1;Tarif Elève - Etudiant - Apprenti;45.0;45.0
TGV INOUI;ORTHEZ;87672253;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;DUNKERQUE;87281006;CHAMBERY CHALLES LES EAUX;87741009;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;CULMONT CHALINDREY;87142125;TOULOUSE MATABIAU;87611004;2;Tarif Normal;25.5;114.0
TGV INOUI;MEUSE TGV;87147322;LUNEVILLE;87141150;1;Tarif Avantage;11.9;42.0
TGV INOUI;BELFORT VILLE;87184002;MOUCHARD;87718833;1;Tarif Réglementé;45.3;45.3
TGV INOUI;PARIS MONTPARNASSE 1 ET 2;87391003;SETE;87773200;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;DUNKERQUE;87281006;CLUSES  74;87746370;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;LE POULIGUEN;87481762;LILLE EUROPE;87223263;2;Tarif Normal;25.5;114.0
TGV INOUI;MIRAMAS;87753004;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Avantage;11.9;42.0
TGV INOUI;LA ROCHELLE VILLE;87485003;FUTUROSCOPE;87324095;1;Tarif Réglementé;45.3;45.3
TGV INOUI;PAU;87672006;MASSY TGV;87393702;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;DUNKERQUE;87281006;VALENCE VILLE;87761007;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MARMANDE;87586545;2;Tarif Normal;25.5;114.0
TGV INOUI;VERSAILLES CHANTIERS;87393009;YVETOT;87413385;1;Tarif Avantage;11.9;42.0
TGV INOUI;LE TEIL;87764472;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Réglementé;45.3;45.3
TGV INOUI;QUIMPER;87474098;DOUAI;87345009;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LANDRY;87741777;ARRAS;87342014;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;PORNICHET;87481747;LILLE EUROPE;87223263;2;Tarif Normal;25.5;114.0
TGV INOUI;LEPIN LE LAC LA BAUCHE;87741439;CLUSES  74;87746370;1;Tarif Normal;13.2;42.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;LONS LE SAUNIER;87718239;1;Tarif Réglementé;45.3;45.3
TGV INOUI;QUIMPERLE;87476317;ARRAS;87342014;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LANDRY;87741777;BERNAY;87444299;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;ST NAZAIRE;87481705;DOUAI;87345009;2;Tarif Normal;25.5;114.0
TGV INOUI;GRENOBLE;87747006;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Normal;14.2;42.0
TGV INOUI;MACON LOCHE TGV;87725705;AIX LES BAINS - LE REVARD;87741132;1;Tarif Réglementé;45.3;45.3
TGV INOUI;RENNES;87471003;SAVERNE;87212225;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LAVAL;87478404;BOURG ST MAURICE;87741793;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;LILLE EUROPE;87223263;SAVENAY;87481838;2;Tarif Normal;45.0;114.0
TGV INOUI;BOURG EN BRESSE;87743005;ST MICHEL VALLOIRE;87742361;1;Tarif Avantage;15.5;42.0
TGV INOUI;BESANCON VIOTTE;87718007;MACON VILLE;87725689;1;Tarif Avantage;11.9;46.0
TGV INOUI;ROSPORDEN;87474155;TGV HAUTE PICARDIE;87313882;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LAVAL;87478404;GRENOBLE;87747006;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;ST JEAN DE MAURIENNE ARVAN;87742320;MASSY PALAISEAU;87393579;2;Tarif Réglementé;87.4;114.2
TGV INOUI;PLOUARET TREGOR;87473181;RENNES;87471003;1;Tarif Avantage;15.5;42.0
TGV INOUI;MASSY TGV;87393702;MARNE LA VALLEE CHESSY;87111849;1;Tarif Avantage;11.9;46.0
TGV INOUI;ROUEN RIVE DROITE;87411017;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LAVAL;87478404;SALLANCHES-COMBLOUX-MEGEVE;87746438;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;MACON VILLE;87725689;ST RAPHAEL VALESCURE;87757526;2;Tarif Réglementé;87.6;114.2
TGV INOUI;ST JEAN DE MAURIENNE ARVAN;87742320;BOURG EN BRESSE;87743005;1;Tarif Avantage;15.5;42.0
TGV INOUI;JUVISY TGV;87496695;LES AUBRAIS;87543017;1;Tarif Normal;13.2;46.0
TGV INOUI;STRASBOURG;87212027;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LAVAL;87478404;ST GERVAIS LES BAINS LE FAYET;87746479;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;ECOLE VALENTIN;87710731;2;Tarif Réglementé;90.5;114.2
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;AGDE;87781278;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;MASSY PALAISEAU;87393579;ROUEN RIVE DROITE;87411017;1;Tarif Normal;15.0;46.0
TGV INOUI;TGV HAUTE PICARDIE;87313882;AIX LES BAINS - LE REVARD;87741132;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LE CROISIC;87481788;LYON PERRACHE;87722025;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
TGV INOUI;COLMAR;87182014;NIMES;87775007;2;Tarif Réglementé;100.5;114.2
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;SETE;87773200;1;Tarif Elève - Etudiant - Apprenti;42.0;42.0
